City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
225,Taybad,IR,2022-03-06 23:44:25,34.74,60.7756,53.31,36,77,3.74
226,Olinda,BR,2022-03-06 23:44:25,-8.0089,-34.8553,82.13,69,40,10.36
227,Say,NE,2022-03-06 23:44:26,13.1007,2.3689,88.36,12,53,9.93
228,Hamilton,US,2022-03-06 23:40:20,39.1834,-84.5333,66.15,86,100,4.61
229,Gladstone,AU,2022-03-06 23:45:26,-23.85,151.25,77.79,83,100,5.75
230,Kruisfontein,ZA,2022-03-06 23:45:26,-34.0033,24.7314,72.88,45,100,7.9
231,Kavaratti,IN,2022-03-06 23:45:27,10.5669,72.642,81.97,69,77,11.43
232,Anzhero-Sudzhensk,RU,2022-03-06 23:45:27,56.081,86.0285,33.46,97,100,17.29
233,Lerwick,GB,2022-03-06 23:45:27,60.1545,-1.1494,44.6,80,100,16.49
234,Petrovsk-Zabaykalskiy,RU,2022-03-06 23:45:28,51.273,108.843,11.1,97,100,2.01
235,San Patricio,US,2022-03-06 23:45:28,28.017,-97.5169,82.81,80,63,17.96
236,Buin,CL,2022-03-06 23:45:28,-33.7333,-70.75,75.52,47,66,4.99
237,Vestmannaeyjar,IS,2022-03-06 23:45:29,63.4427,-20.2734,38.93,62,94,17.29
238,Kontagora,NG,2022-03-06 23:45:29,10.3999,5.4695,84.25,46,71,3.44
239,Belmonte,BR,2022-03-06 23:45:30,-15.8631,-38.8828,81.1,83,67,8.08
240,Mujiayingzi,CN,2022-03-06 23:45:30,42.1167,118.7833,28.98,52,7,7.45
241,San Felipe,VE,2022-03-06 23:45:30,10.3399,-68.7425,69.71,94,70,5.17
242,Tibati,CM,2022-03-06 23:45:31,6.4667,12.6333,76.35,49,89,3.15
243,Biak,ID,2022-03-06 23:45:31,-0.9131,122.8766,77.09,87,98,5.68
244,Thames,NZ,2022-03-06 23:45:32,-37.1333,175.5333,77.4,50,71,2.86
245,Lagoa,PT,2022-03-06 23:45:32,39.05,-27.9833,57.45,77,98,35.81
246,Progreso,MX,2022-03-06 23:45:32,21.2833,-89.6667,78.87,77,78,15.46
247,Llanes,ES,2022-03-06 23:45:33,43.4198,-4.7549,44.28,75,37,4.88
248,Sovetskiy,RU,2022-03-06 23:45:33,61.3614,63.5842,-11.6,92,100,10.98
249,Dwarka,IN,2022-03-06 23:45:33,22.2394,68.9678,71.91,74,1,9.04
250,Wawa,NG,2022-03-06 23:45:34,9.9022,4.4192,85.84,54,97,5.39
251,Novyy Nekouz,RU,2022-03-06 23:45:34,57.9029,38.07,26.24,95,100,8.46
252,Nuuk,GL,2022-03-06 23:45:35,64.1835,-51.7216,20.01,93,100,5.75
253,Teaca,RO,2022-03-06 23:45:35,46.9167,24.5167,31.08,67,99,2.42
254,Paoua,CF,2022-03-06 23:45:35,7.2427,16.4406,79.59,41,88,2.33
255,Koroni,GR,2022-03-06 23:45:36,36.8,21.95,47.07,72,31,10.4
256,Faanui,PF,2022-03-06 23:45:36,-16.4833,-151.75,81.75,72,93,12.03
257,Dedenevo,RU,2022-03-06 23:45:36,56.25,37.5167,30.69,92,100,7.96
258,Bhopal,IN,2022-03-06 23:45:13,23.2667,77.4,67.64,21,17,6.67
259,Krasnorechenskiy,RU,2022-03-06 23:45:37,44.6265,135.3532,18.12,85,57,7.07
260,Nadym,RU,2022-03-06 23:45:37,65.5333,72.5167,-29.2,99,88,9.51
261,La Ronge,CA,2022-03-06 23:45:38,55.1001,-105.2842,25.05,68,100,8.05
262,Mondlo,ZA,2022-03-06 23:45:38,-27.983,30.7177,60.96,96,44,3.58
263,Dudinka,RU,2022-03-06 23:45:38,69.4058,86.1778,-39.01,100,49,3.62
264,Upala,CR,2022-03-06 23:45:39,10.8979,-85.0145,86.4,58,76,8.37
265,Lagos,NG,2022-03-06 23:41:56,6.5833,3.75,79.12,80,98,4.45
266,Haapiti,PF,2022-03-06 23:45:39,-17.5667,-149.8667,83.71,73,13,12.48
267,Erenhot,CN,2022-03-06 23:45:39,43.6475,111.9767,21.63,63,1,7.18
268,Lebu,CL,2022-03-06 23:45:40,-37.6167,-73.65,58.28,87,52,8.63
269,Coxim,BR,2022-03-06 23:45:40,-18.5067,-54.76,75.7,83,44,3.62
270,Tuatapere,NZ,2022-03-06 23:45:41,-46.1333,167.6833,54.82,73,100,7.27
271,Itoman,JP,2022-03-06 23:45:41,26.1247,127.6694,62.62,70,75,9.22
272,Cabo San Lucas,MX,2022-03-06 23:45:41,22.8909,-109.9124,78.62,65,0,10.36
273,Richards Bay,ZA,2022-03-06 23:46:42,-28.783,32.0377,71.35,95,4,6.26
274,Moussoro,TD,2022-03-06 23:46:42,13.6408,16.4901,89.42,14,40,6.04
275,Husavik,IS,2022-03-06 23:46:42,66.0449,-17.3389,33.71,78,5,15.14
276,Kermanshah,IR,2022-03-06 23:46:43,34.3142,47.065,40.35,88,100,7.29
277,Bethel,US,2022-03-06 23:46:43,41.3712,-73.414,66.29,79,0,9.22
278,Bharatpur,IN,2022-03-06 23:46:44,27.2167,77.4833,62.78,48,100,6.06
279,Ilo,PE,2022-03-06 23:46:44,-17.6394,-71.3375,72.16,84,48,7.27
280,Isangel,VU,2022-03-06 23:46:45,-19.55,169.2667,84.16,66,4,1.83
281,Kaitangata,NZ,2022-03-06 23:46:45,-46.2817,169.8464,52.48,71,100,9.53
282,Santa Rosa,PH,2022-03-06 23:43:33,14.3122,121.1114,79.02,71,100,6.73
283,Osmena,PH,2022-03-06 23:46:45,10.5208,119.9258,81.23,73,85,16.04
284,Bayan,CN,2022-03-06 23:46:46,46.0833,127.4,12.9,87,100,3.11
285,Doha,QA,2022-03-06 23:46:46,25.2867,51.5333,71.91,75,0,3.44
286,Rapid Valley,US,2022-03-06 23:46:46,44.0625,-103.1463,24.4,65,75,1.99
287,New Norfolk,AU,2022-03-06 23:46:47,-42.7826,147.0587,64.92,45,79,3.58
288,Vera Cruz,BR,2022-03-06 23:42:00,-12.6333,-41.0333,68.22,91,90,2.1
289,Karratha,AU,2022-03-06 23:46:47,-20.7377,116.8463,88.65,44,7,7.94
290,Tessaoua,NE,2022-03-06 23:46:47,13.7574,7.9874,83.84,9,79,1.68
291,Ileza,RU,2022-03-06 23:46:48,61.0533,43.9002,6.73,92,100,5.99
292,Kaoma,ZM,2022-03-06 23:46:49,-14.7833,24.8,64.81,97,100,5.46
293,Limbang,MY,2022-03-06 23:46:49,4.75,115.0,77.31,87,100,1.61
